Timestamp,Audio,Temperature(C),Humidity(%),Pressure(Pa),Oxygen(%),HeartRate(BPM)
2025-04-26 02:52:42,274,27.59,77.28,0.0,0.0,0.0
2025-04-26 02:52:42,286,27.59,77.29,0.0,0.0,0.0
2025-04-26 02:52:42,286,27.59,77.29,0.0,0.0,0.0
2025-04-26 02:52:42,284,27.6,77.31,0.0,0.0,0.0
2025-04-26 02:52:42,274,27.6,77.32,0.0,0.0,0.0
2025-04-26 02:52:42,272,27.6,77.33,0.0,0.0,0.0
2025-04-26 02:52:42,274,27.6,77.31,0.0,0.0,0.0
2025-04-26 02:52:42,286,27.6,77.3,0.0,0.0,0.0
2025-04-26 02:52:42,285,27.59,77.31,0.0,0.0,0.0
2025-04-26 02:52:42,279,27.61,77.27,0.0,0.0,0.0
2025-04-26 02:52:43,282,27.57,77.33,0.0,0.0,0.0
2025-04-26 02:52:43,282,27.56,77.27,0.0,0.0,0.0
2025-04-26 02:52:43,277,27.59,77.36,0.0,0.0,0.0
2025-04-26 02:52:43,282,27.59,77.28,0.0,0.0,0.0
2025-04-26 02:52:43,277,27.59,77.33,0.0,0.0,0.0
2025-04-26 02:52:43,277,27.59,77.32,0.0,0.0,0.0
2025-04-26 02:52:43,274,27.59,77.33,0.0,0.0,0.0
2025-04-26 02:52:43,285,27.6,77.26,0.0,0.0,0.0
2025-04-26 02:52:43,276,27.6,77.27,0.0,0.0,0.0
2025-04-26 02:52:43,274,27.59,77.23,0.0,0.0,0.0
2025-04-26 02:52:43,279,27.58,77.26,0.0,0.0,0.0
2025-04-26 02:52:43,281,27.59,77.28,0.0,0.0,0.0
2025-04-26 02:52:43,282,27.59,77.23,0.0,0.0,0.0
2025-04-26 02:52:43,281,27.58,77.24,0.0,0.0,0.0
2025-04-26 02:52:43,278,27.6,77.23,0.0,0.0,0.0
2025-04-26 02:52:43,282,27.59,77.25,0.0,0.0,0.0
2025-04-26 02:52:43,276,27.6,77.25,0.0,0.0,0.0
2025-04-26 02:52:43,281,27.61,77.32,0.0,0.0,0.0
2025-04-26 02:52:43,287,27.6,77.27,0.0,0.0,0.0
2025-04-26 02:52:43,285,27.6,77.25,0.0,0.0,0.0
2025-04-26 02:52:44,290,27.58,77.23,0.0,0.0,0.0
2025-04-26 02:52:44,282,27.59,77.3,0.0,0.0,0.0
2025-04-26 02:52:44,285,27.57,77.3,0.0,0.0,0.0
2025-04-26 02:52:44,279,27.58,77.26,0.0,0.0,0.0
2025-04-26 02:52:44,278,27.6,77.27,0.0,0.0,0.0
2025-04-26 02:52:44,276,27.6,77.3,0.0,0.0,0.0
2025-04-26 02:52:44,283,27.6,77.31,0.0,0.0,0.0
2025-04-26 02:52:44,283,27.6,77.24,0.0,0.0,0.0
2025-04-26 02:52:44,283,27.58,77.23,0.0,0.0,0.0
2025-04-26 02:52:44,284,27.57,77.15,0.0,0.0,0.0
2025-04-26 02:52:44,284,27.55,77.15,0.0,0.0,0.0
2025-04-26 02:52:44,279,27.57,77.15,0.0,0.0,0.0
2025-04-26 02:52:44,283,27.57,77.15,0.0,0.0,0.0
2025-04-26 02:52:44,282,27.58,77.1,0.0,0.0,0.0
2025-04-26 02:52:44,279,27.58,77.15,0.0,0.0,0.0
2025-04-26 02:52:44,284,27.59,77.28,0.0,0.0,0.0
2025-04-26 02:52:44,282,27.58,77.27,0.0,0.0,0.0
2025-04-26 02:52:44,284,27.58,77.25,0.0,0.0,0.0
2025-04-26 02:52:44,286,27.57,77.23,0.0,0.0,0.0
2025-04-26 02:52:44,281,27.58,77.27,0.0,0.0,0.0
2025-04-26 02:52:45,273,27.55,77.31,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.56,77.25,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.57,77.26,0.0,0.0,0.0
2025-04-26 02:52:45,282,27.6,77.26,0.0,0.0,0.0
2025-04-26 02:52:45,283,27.58,77.24,0.0,0.0,0.0
2025-04-26 02:52:45,285,27.59,77.23,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.6,77.28,0.0,0.0,0.0
2025-04-26 02:52:45,284,27.58,77.29,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.6,77.3,0.0,0.0,0.0
2025-04-26 02:52:45,287,27.59,77.27,0.0,0.0,0.0
2025-04-26 02:52:45,278,27.54,77.26,0.0,0.0,0.0
2025-04-26 02:52:45,286,27.6,77.31,0.0,0.0,0.0
2025-04-26 02:52:45,285,27.59,77.22,0.0,0.0,0.0
2025-04-26 02:52:45,282,27.59,77.25,0.0,0.0,0.0
2025-04-26 02:52:45,278,27.6,77.29,0.0,0.0,0.0
2025-04-26 02:52:45,285,27.59,77.31,0.0,0.0,0.0
2025-04-26 02:52:45,279,27.59,77.3,0.0,0.0,0.0
2025-04-26 02:52:45,279,27.58,77.24,0.0,0.0,0.0
2025-04-26 02:52:45,279,27.59,77.3,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.58,77.35,0.0,0.0,0.0
2025-04-26 02:52:45,286,27.58,77.28,0.0,0.0,0.0
2025-04-26 02:52:45,283,27.58,77.25,0.0,0.0,0.0
2025-04-26 02:52:45,274,27.58,77.32,0.0,0.0,0.0
2025-04-26 02:52:45,281,27.58,77.32,0.0,0.0,0.0
2025-04-26 02:52:45,284,27.59,77.32,0.0,0.0,0.0
2025-04-26 02:52:45,289,27.58,77.35,0.0,0.0,0.0
2025-04-26 02:52:45,282,27.59,77.25,0.0,0.0,0.0
2025-04-26 02:52:45,276,27.59,77.34,0.0,0.0,0.0
2025-04-26 02:52:45,280,27.59,77.34,0.0,0.0,0.0
2025-04-26 02:52:45,278,27.59,77.35,0.0,0.0,0.0
2025-04-26 02:52:46,285,27.57,77.4,0.0,0.0,0.0
2025-04-26 02:52:46,279,27.58,77.29,0.0,0.0,0.0
2025-04-26 02:52:46,286,27.58,77.29,0.0,0.0,0.0
2025-04-26 02:52:46,286,27.59,77.3,0.0,0.0,0.0
2025-04-26 02:52:46,278,27.58,77.28,0.0,0.0,0.0
2025-04-26 02:52:46,279,27.59,77.31,0.0,0.0,0.0
2025-04-26 02:52:46,277,27.59,77.35,0.0,0.0,0.0
2025-04-26 02:52:46,282,27.58,77.31,0.0,0.0,0.0
2025-04-26 02:52:46,279,27.58,77.28,0.0,0.0,0.0
2025-04-26 02:52:46,288,27.6,77.28,0.0,0.0,0.0
2025-04-26 02:52:46,285,27.56,77.33,0.0,0.0,0.0
2025-04-26 02:52:46,275,27.57,77.3,0.0,0.0,0.0
2025-04-26 02:52:46,278,27.59,77.31,0.0,0.0,0.0
2025-04-26 02:52:46,278,27.58,77.33,0.0,0.0,0.0
2025-04-26 02:52:46,274,27.58,77.3,0.0,0.0,0.0
2025-04-26 02:52:46,279,27.56,77.29,0.0,0.0,0.0
2025-04-26 02:52:46,282,27.57,77.28,0.0,0.0,0.0
2025-04-26 02:52:46,283,27.58,77.29,0.0,0.0,0.0
2025-04-26 02:52:46,289,27.56,77.39,0.0,0.0,0.0
2025-04-26 02:52:46,286,27.58,77.38,0.0,0.0,0.0
2025-04-26 02:52:47,285,27.56,77.39,0.0,0.0,0.0
2025-04-26 02:52:47,276,27.57,77.33,0.0,0.0,0.0
2025-04-26 02:52:47,288,27.58,77.4,0.0,0.0,0.0
2025-04-26 02:52:47,281,27.57,77.36,0.0,0.0,0.0
2025-04-26 02:52:47,283,27.57,77.36,0.0,0.0,0.0
2025-04-26 02:52:47,277,27.57,77.33,0.0,0.0,0.0
2025-04-26 02:52:47,281,27.56,77.38,0.0,0.0,0.0
2025-04-26 02:52:47,278,27.57,77.4,0.0,0.0,0.0
2025-04-26 02:52:47,288,27.57,77.35,0.0,0.0,0.0
2025-04-26 02:52:47,286,27.58,77.35,0.0,0.0,0.0
2025-04-26 02:52:47,278,27.58,77.39,0.0,0.0,0.0
2025-04-26 02:52:47,278,27.57,77.33,0.0,0.0,0.0
2025-04-26 02:52:47,279,27.57,77.34,0.0,0.0,0.0
2025-04-26 02:52:47,291,27.57,77.34,0.0,0.0,0.0
2025-04-26 02:52:47,288,27.58,77.39,0.0,0.0,0.0
2025-04-26 02:52:47,286,27.58,77.45,0.0,0.0,0.0
2025-04-26 02:52:47,279,27.58,77.39,0.0,0.0,0.0
2025-04-26 02:52:47,283,27.59,77.38,0.0,0.0,0.0
2025-04-26 02:52:47,277,27.6,77.36,0.0,0.0,0.0
2025-04-26 02:52:47,279,27.59,77.33,0.0,0.0,0.0
2025-04-26 02:52:48,277,27.56,77.33,0.0,0.0,0.0
2025-04-26 02:52:48,286,27.57,77.35,0.0,0.0,0.0
2025-04-26 02:52:48,277,27.58,77.33,0.0,0.0,0.0
