Timestamp,T_Value,H_Value,P_Value,B_Value,HR_Value
2025-02-18 02:01:09,24.48,54.5,0.0,0.0,0.0
2025-02-18 02:01:09,24.46,54.45,0.0,0.0,0.0
2025-02-18 02:01:09,24.46,54.49,0.0,0.0,0.0
2025-02-18 02:01:09,24.46,54.49,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.46,0.0,0.0,0.0
2025-02-18 02:01:09,24.45,54.43,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.42,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.43,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.41,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.46,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.44,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.44,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.49,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.53,0.0,0.0,0.0
2025-02-18 02:01:09,24.43,54.5,0.0,0.0,0.0
2025-02-18 02:01:09,24.44,54.52,0.0,0.0,0.0
2025-02-18 02:01:09,24.42,54.54,0.0,0.0,0.0
2025-02-18 02:01:09,24.43,54.51,0.0,0.0,0.0
2025-02-18 02:01:09,24.41,54.52,0.0,0.0,0.0
2025-02-18 02:01:10,24.41,54.53,0.0,0.0,0.0
2025-02-18 02:01:10,24.41,54.56,0.0,0.0,0.0
2025-02-18 02:01:10,24.41,54.46,0.0,0.0,0.0
2025-02-18 02:01:10,24.39,54.49,0.0,0.0,0.0
2025-02-18 02:01:10,24.38,54.44,0.0,0.0,0.0
2025-02-18 02:01:10,24.37,54.46,0.0,0.0,0.0
2025-02-18 02:01:10,24.39,54.49,0.0,0.0,0.0
2025-02-18 02:01:10,24.38,54.47,0.0,0.0,0.0
2025-02-18 02:01:10,24.38,54.45,0.0,0.0,0.0
2025-02-18 02:01:10,24.38,54.43,0.0,0.0,0.0
2025-02-18 02:01:10,24.37,54.48,0.0,0.0,0.0
2025-02-18 02:01:10,24.36,54.49,0.0,0.0,0.0
2025-02-18 02:01:10,24.37,54.46,0.0,0.0,0.0
2025-02-18 02:01:10,24.36,54.49,0.0,0.0,0.0
2025-02-18 02:01:10,24.36,54.5,0.0,0.0,0.0
2025-02-18 02:01:10,24.35,54.45,0.0,0.0,0.0
2025-02-18 02:01:10,24.34,54.46,0.0,0.0,0.0
2025-02-18 02:01:10,24.34,54.53,0.0,0.0,0.0
2025-02-18 02:01:10,24.35,54.51,0.0,0.0,0.0
2025-02-18 02:01:10,24.33,54.6,0.0,0.0,0.0
2025-02-18 02:01:10,24.33,54.6,0.0,0.0,0.0
