Timestamp,Audio,Temperature(C),Humidity(%),Pressure(Pa),Oxygen(%),HeartRate(BPM)
2025-02-20 23:54:46,280,22.99,73.54,0.0,0.0,0.0
2025-02-20 23:54:46,287,23.0,73.64,0.0,0.0,0.0
2025-02-20 23:54:46,289,23.02,73.61,0.0,0.0,0.0
2025-02-20 23:54:46,281,23.01,73.65,0.0,0.0,0.0
2025-02-20 23:54:46,282,23.01,73.62,0.0,0.0,0.0
2025-02-20 23:54:46,276,23.02,73.67,0.0,0.0,0.0
2025-02-20 23:54:46,283,23.02,73.66,0.0,0.0,0.0
2025-02-20 23:54:46,275,23.02,73.63,0.0,0.0,0.0
2025-02-20 23:54:46,287,22.99,73.67,0.0,0.0,0.0
2025-02-20 23:54:46,279,22.99,73.57,0.0,0.0,0.0
2025-02-20 23:54:46,276,23.0,73.62,0.0,0.0,0.0
2025-02-20 23:54:46,283,23.02,73.6,0.0,0.0,0.0
2025-02-20 23:54:46,275,23.01,73.54,0.0,0.0,0.0
2025-02-20 23:54:46,282,23.01,73.69,0.0,0.0,0.0
2025-02-20 23:54:46,288,23.01,73.61,0.0,0.0,0.0
2025-02-20 23:54:46,283,23.01,73.58,0.0,0.0,0.0
2025-02-20 23:54:46,284,23.02,73.63,0.0,0.0,0.0
2025-02-20 23:54:46,288,23.01,73.61,0.0,0.0,0.0
2025-02-20 23:54:46,286,23.01,73.65,0.0,0.0,0.0
2025-02-20 23:54:46,286,23.01,73.55,0.0,0.0,0.0
2025-02-20 23:54:46,283,23.01,73.57,0.0,0.0,0.0
2025-02-20 23:54:46,287,23.0,73.57,0.0,0.0,0.0
2025-02-20 23:54:46,282,23.01,73.54,0.0,0.0,0.0
2025-02-20 23:54:46,286,23.01,73.5,0.0,0.0,0.0
2025-02-20 23:54:46,286,23.0,73.55,0.0,0.0,0.0
2025-02-20 23:54:46,283,23.0,73.53,0.0,0.0,0.0
2025-02-20 23:54:46,288,23.0,73.45,0.0,0.0,0.0
2025-02-20 23:54:46,275,23.02,73.47,0.0,0.0,0.0
2025-02-20 23:54:46,282,22.99,73.48,0.0,0.0,0.0
2025-02-20 23:54:47,294,22.98,73.52,0.0,0.0,0.0
2025-02-20 23:54:47,281,22.99,73.44,0.0,0.0,0.0
2025-02-20 23:54:47,284,23.0,73.51,0.0,0.0,0.0
2025-02-20 23:54:47,282,23.01,73.53,0.0,0.0,0.0
2025-02-20 23:54:47,285,23.01,73.55,0.0,0.0,0.0
2025-02-20 23:54:47,282,23.0,73.54,0.0,0.0,0.0
2025-02-20 23:54:47,283,23.01,73.57,0.0,0.0,0.0
2025-02-20 23:54:47,285,23.01,73.53,0.0,0.0,0.0
2025-02-20 23:54:47,278,22.99,73.44,0.0,0.0,0.0
2025-02-20 23:54:47,289,23.01,73.4,0.0,0.0,0.0
2025-02-20 23:54:47,288,22.98,73.31,0.0,0.0,0.0
2025-02-20 23:54:47,281,22.98,73.41,0.0,0.0,0.0
2025-02-20 23:54:47,282,22.99,73.42,0.0,0.0,0.0
2025-02-20 23:54:47,283,23.0,73.38,0.0,0.0,0.0
2025-02-20 23:54:47,286,23.0,73.38,0.0,0.0,0.0
2025-02-20 23:54:47,289,23.02,73.35,0.0,0.0,0.0
2025-02-20 23:54:47,286,22.99,73.29,0.0,0.0,0.0
2025-02-20 23:54:47,288,23.0,73.37,0.0,0.0,0.0
2025-02-20 23:54:47,283,23.01,73.32,0.0,0.0,0.0
2025-02-20 23:54:47,284,23.02,73.34,0.0,0.0,0.0
2025-02-20 23:54:47,286,22.99,73.33,0.0,0.0,0.0
2025-02-20 23:54:47,282,23.0,73.3,0.0,0.0,0.0
2025-02-20 23:54:47,282,23.01,73.25,0.0,0.0,0.0
2025-02-20 23:54:47,282,23.01,73.33,0.0,0.0,0.0
2025-02-20 23:54:47,281,23.03,73.28,0.0,0.0,0.0
2025-02-20 23:54:47,275,23.01,73.31,0.0,0.0,0.0
2025-02-20 23:54:47,272,23.01,73.25,0.0,0.0,0.0
2025-02-20 23:54:47,283,23.01,73.23,0.0,0.0,0.0
2025-02-20 23:54:48,284,23.03,73.25,0.0,0.0,0.0
2025-02-20 23:54:48,282,23.03,73.29,0.0,0.0,0.0
2025-02-20 23:54:48,272,22.99,73.24,0.0,0.0,0.0
2025-02-20 23:54:48,277,23.02,73.18,0.0,0.0,0.0
2025-02-20 23:54:48,271,23.02,73.08,0.0,0.0,0.0
2025-02-20 23:54:48,271,23.02,73.18,0.0,0.0,0.0
2025-02-20 23:54:48,272,23.01,73.22,0.0,0.0,0.0
2025-02-20 23:54:48,275,23.01,73.16,0.0,0.0,0.0
2025-02-20 23:54:48,272,23.04,73.26,0.0,0.0,0.0
2025-02-20 23:54:48,275,23.01,73.19,0.0,0.0,0.0
